tweet_id,user_id,created_at,tweet,username,name,location,tweet_type,replied_to_id,label
1503781651477930000,2921846356,2022-03-15T17:14:19.000Z,@VodafoneUK Thailand feed the penguins #DreamHoliday,giggles1978MR,Maria 💐💐💐💐💐💐,United Kingdom,replied_to,1503778049203920000,1
1504760660462390000,754721953806770000,2022-03-18T10:04:33.000Z,@EE Internet is down and I do not have the number associated with it. Can I speak to a human about this please?,Breadgoods,Breadgoods,,replied_to,1504714218402190000,-1
1503846077316980000,41894658,2022-03-15T21:30:19.000Z,"@VodafoneUK Costa Rica.. Get lost in the jungle😂
#DreamHoliday https://t.co/aZQ0D7E720",staceyhillx,Staceyhillx,"england ",replied_to,1503778049203920000,-1
1504867182911580000,163860866,2022-03-18T17:07:50.000Z,@EE if I take out your unlimited data add on on a monthly basis does it renew after a month or on my billing date?,andhealey,Andrew Healey,,Original_tweet,Null,0
1504751440811730000,7117212,2022-03-18T09:27:55.000Z,"@jamesarwallace Hey James. Thanks for taking the time to share this fantastic feedback with us.

Did you manage to catch their names at all? -Michael D",EE,EE,UK,replied_to,1504750828908950000,1
1505484294088640000,20678384,2022-03-20T10:00:00.000Z,"Use auto-correct to finish this sentence and we could surprise you with #VodafoneTreats

I’m so happy when…

#InternationalDayOfHappiness",Vodafone,Vodafone,UK,Original_tweet,Null,1
1505898978772140000,7117212,2022-03-21T13:27:49.000Z,"@woollyvix Good morning, I know how important it is to have a connection you can count on at the moment, so I'm sorry to hear this has been giving you some trouble. 

Let's get this checked out though, is it home broadband you have, or is this through 4G/5G? - Peter",EE,EE,UK,replied_to,1505869644435010000,1
1505206924517780000,1150109430731690000,2022-03-19T15:37:50.000Z,@bt_uk Look up my details and see the notes. Shocking service.,kylrav,Kyle Raven,"Plymouth, England",replied_to,1505150794273800000,-1
1505896619878900000,1278066564881930000,2022-03-21T13:18:27.000Z,"@EE Thanks Tom. Just did that, and it sends me to apple muslic. I sign into my account and still the same. The 6 month offer isnt linked to my account.",HAhmed1982,Hamza Ahmed,,replied_to,1505895491292340000,-1
1505659939808760000,1073518271394130000,2022-03-20T21:37:58.000Z,"@bt_uk ur wifi literally makes me so depressed - id be apex pred level SO EASY, the only thing holding me back is ur wifi - the singular reason that lets u call ur broadband “fibre” is the similarity between the wifi and these steaming, fibrous logs im laying on the daily",BistoSkids,bisto papi,"ur mothers king sized bed ",replied_to,1505655419418650000,-1
1504868947488820000,2180432083,2022-03-18T17:14:50.000Z,"@VodafoneUK Yay!! I’m going down under to Australia 🇦🇺 to feed the penguins 🐧
#DreamHoliday",kazweedon,🎀 𝒦𝒶𝓏 🎀,"♥ 𝙷𝚊𝚖𝚙𝚜𝚑𝚒𝚛𝚎, 𝚄𝙺 ♥",replied_to,1503778049203920000,0
1505547474005630000,1450474084215710000,2022-03-20T14:11:04.000Z,"Absolute cheek of @EE emailing me for money while we're all sat here using our phone data an cant watch telly because it wont connect. What am I actually payin for ffs 🤬 awaits the standard tweet asking for details so you can help, for the millionth time yet here we still are 🙄 https://t.co/ohmAdfwyZM",GLou1878,GemLou1878,,Original_tweet,Null,-1
1505485591575770000,54745332,2022-03-20T10:05:10.000Z,"@VodafoneUK trying to add a data plan on my Apple Watch, went through the steps on one number, but it’s stuck on this… 😐 https://t.co/BvJHH8nusB",DoggoneJay,Jay,"Leicester, UK",Original_tweet,Null,-1
