tweet_id,user_id,created_at,tweet,username,name,location,tweet_type,replied_to_id,label
1504839195285770000,1446098291641530000,2022-03-18T15:16:37.000Z,@DrHoenderkamp @BorisJohnson @RishiSunak @EE have increased my phone bill by nearly 10% as well. Seriously considering emigrating,SimonHargood1,Simon Hargood,,replied_to,1504788445440490000,-1
1505214987127690000,2164699055,2022-03-19T16:09:53.000Z,"@MichelleMansel8 @EE It’s a no brainer it’s so easy. I already do things like mobiles, broadband through it because the cashback is huge! Use this link to sign up and you’ll get an extra £10 when you use it for the first time. https://t.co/F2x5QlTj6d",Angharad_78,Angharad Walters 🏴󠁧󠁢󠁷󠁬󠁳󠁿✊,"Ferndale, Wales",replied_to,1505174495358850000,1
1505602204178310000,1170393325234510000,2022-03-20T17:48:32.000Z,@EE Can you check my DM,FNBRNico,Nico,Code: FNBRNico,replied_to,1505580355134590000,-1
1504754228316850000,878335784486556000,2022-03-18T09:38:59.000Z,Thank you @EE for providing such a reliable and fast service. It has proved invaluable after I foolishly tried to switch to @CommunityFibre,cmtrimby,Christopher Trimby,,Original_tweet,Null,1
1504457661521270000,1623163866,2022-03-17T14:00:32.000Z,"@VodafoneUK Bungee jumping in Greece, shame I don't like heights #VeryMeRewards",CHcouk,cat,,replied_to,1503778049203920000,-1
1505492079543210000,1252358608337110000,2022-03-20T10:30:57.000Z,"@EE Dear EE. 

I have purchased a roaming package on my phone (sent PM with number on FB). You have blocked my phone from using this. I have now complained 5 times using the web form, FB &amp; tweet. Can someone please please please please please please please please unblock my phone",Extrove86970608,Caged Extrovert,,replied_to,1503506260095900000,-1
1503795442978540000,293979936,2022-03-15T18:09:07.000Z,"@JamieSChampness @bt_uk @Equifax Hi Jamie, That does seem strange indeed. The data that's provided is owned by BT, however we can dispute this for you. Can you send me an email directly to uksocialsupport@experian.com along with your name, DOB and address along with some further information about this.",Experian_UK,Experian_UK #StaySafe,UK,replied_to,1503791211567540000,-1
1504140043719430000,31228262,2022-03-16T16:58:26.000Z,Just in the process of cancelling my planned installation with @virginmedia and going with @bt_uk instead. The customer service bar has been set very low by @virginmedia so shouldn’t be a problem for  @bt_uk to do better. #getconnected,danielrsharp,Daniel R Sharp,,Original_tweet,Null,-1
1504768057704700000,36966219,2022-03-18T10:33:56.000Z,Finally arrived @EE https://t.co/9UAwSYncJg,H_chapman17,Harry,"Grantham, England",Original_tweet,Null,-1
1504157634416550000,1065627500775120000,2022-03-16T18:08:20.000Z,@10DowningStreet📢@GOVUK censor-theres a D-Notice on my story-the journalist whose @NHSuk bloods are doctored #defamed then sectioned the day #RussiaReport published 21 July 2020-Tribunal #corrupted but released 3 Aug 2020 with reams of sadistic defamatory notes.@UN @BBCNews @CNN https://t.co/hgL0IOcNZV,SueChester7,Sue Chester 🕊️🕊️🕊️🕊️🕊️🕊️🕊️🕊️🕊️🕊️🕊️🕊️,,quoted,1503702585252970000,-1
1503119913656930000,7117212,2022-03-13T21:24:48.000Z,"And the award for best watch-along commentary goes to… Our incredible hosts @biminibabes, Clara Amfo, @AliPlumb, and @DanielJLayton. 

Thank you and goodnight #EEBAFTAs! 

@BAFTA @GoogleUK #FullFibre https://t.co/8LUz5EcjSW",EE,EE,UK,Original_tweet,Null,1
1504733633818550000,334780738,2022-03-18T08:17:09.000Z,@bt_uk issue with our line since 2pm yesterday and the best you can do is an engineer on Monday how can I escalate this,AaronGrif__,Aaron ツ,,Original_tweet,Null,-1
1505841627843150000,1467972406467870000,2022-03-21T09:39:55.000Z,@EE S22 ultra,Mufc__Jon,Jonny,W15,replied_to,1505841499552030000,1
1504949195236680000,89939525,2022-03-18T22:33:43.000Z,@tgou32 @Jamespepper55 @officialEIHL @EE Think people expect him to go sit in a corner somewhere n have a timeout n he's not allowed back til he apologises n means it!,nelson207,Steven Nelson,Dumbarton,replied_to,1504948817862570000,-1
1503904847854290000,1430495136904060000,2022-03-16T01:23:51.000Z,"@bt_uk 1/2 A few weeks ago, there was a large outage and my internet went down. Thus, I couldn't use my landline either. My mobile is on pay and go and thus calls &amp; texts are v expensive, but I managed to find out from a family member that BT had been informed and would send an",AwokeRoseArisen,"Mya-Rose, exposed as freaky and outrageous",England,replied_to,1503902463333740000,-1
1504796146082140000,1504794735751630000,2022-03-18T12:25:33.000Z,Great project @KKRiders @EE @asvpxrocky https://t.co/yWzfeXZjuo,Usha69729436,Usha,,quoted,1504741778791880000,1
1504541310233020000,1357358888119650000,2022-03-17T19:32:56.000Z,@MFozzii @btsportfootball @btsport @bt_uk Of course it was more important,RobertF21602271,Robert Ford,,replied_to,1504537241992980000,-1
1503722139387580000,118750085,2022-03-15T13:17:50.000Z,"@antellim HI David,

Have you tried to login on different devices ?

Thanks ^Trevor",BT,BT,UK,replied_to,1503700860668360000,1
